batter,runs,balls,strike_rate,bowler,wickets,fantasy_score
,0.0,0.0,0.0,SS Mundhe,1.0,1.2
,0.0,0.0,0.0,SS Agarwal,1.0,1.2
,0.0,0.0,0.0,Raghu Sharma,1.0,1.2
,0.0,0.0,0.0,RS Ghosh,1.0,1.2
,0.0,0.0,0.0,NB Singh,1.0,1.2
,0.0,0.0,0.0,TP Sudhindra,1.0,1.2
,0.0,0.0,0.0,AA Kazi,1.0,1.2
,0.0,0.0,0.0,D Jansen,1.0,1.2
,0.0,0.0,0.0,Karim Janat,0.0,0.0
JL Denly,0.0,1.0,0.0,,0.0,0.0
,0.0,0.0,0.0,H Sharma,0.0,0.0
,0.0,0.0,0.0,Gurnoor Brar,0.0,0.0
,0.0,0.0,0.0,MG Neser,0.0,0.0
MJ Owen,0.0,2.0,0.0,,0.0,0.0
Abdur Razzak,0.0,2.0,0.0,Abdur Razzak,0.0,0.0
,0.0,0.0,0.0,S Midhun,0.0,0.0
,0.0,0.0,0.0,S Joseph,0.0,0.0
,0.0,0.0,0.0,CJ Green,0.0,0.0
,0.0,0.0,0.0,RW Price,0.0,0.0
,0.0,0.0,0.0,CJ Dala,0.0,0.0
,0.0,0.0,0.0,RR Bose,0.0,0.0
RR Bhatkal,0.0,2.0,0.0,RR Bhatkal,0.0,0.0
,0.0,0.0,0.0,Tejas Baroka,0.0,0.0
,0.0,0.0,0.0,Jalaj S Saxena,0.0,0.0
Sunny Gupta,0.0,1.0,0.0,Sunny Gupta,0.0,0.0
,0.0,0.0,0.0,RA Shaikh,0.0,0.0
R Sanjay Yadav,0.0,2.0,0.0,R Sanjay Yadav,0.0,0.0
,0.0,0.0,0.0,MB Parmar,0.0,0.0
,0.0,0.0,0.0,T Vijay,0.0,0.0
,0.0,0.0,0.0,P Prasanth,0.0,0.0
,0.0,0.0,0.0,Monu Kumar,0.0,0.0
,0.0,0.0,0.0,NA Saini,0.0,0.0
U Kaul,0.0,1.0,0.0,,0.0,0.0
KS Rathore,0.0,5.0,0.0,,0.0,0.0
,0.0,0.0,0.0,C Ganapathy,0.0,0.0
,0.0,0.0,0.0,R Goyal,0.0,0.0
